,goal_difference_1,form_1,form_weighted_1,goal_difference_2,form_2,form_weighted_2,home_away,target,team_1_B,team_1_C,team_1_D,team_2_B,team_2_C,team_2_D
381,-6,1.4,0.48,2,1.2,2.4,0,3,0,1,0,0,1,0
382,41,2.2,8.8,-24,1.4,1.7600000000000002,1,3,0,0,0,0,0,1
383,-24,1.4,1.7600000000000002,41,2.2,8.8,0,0,0,0,1,0,0,0
384,19,1.8,7.2,9,1.4,1.44,1,3,0,0,0,0,1,0
385,9,1.4,1.44,19,1.8,7.2,0,0,0,1,0,0,0,0
386,-11,1.4,2.8,23,2.0,0.5599999999999999,1,0,0,1,0,0,0,0
387,23,2.0,0.5599999999999999,-11,1.4,2.8,0,3,0,0,0,0,1,0
388,-28,0.6,0.6,-7,1.8,0.12,1,0,0,0,1,0,1,0
389,-7,1.8,0.12,-28,0.6,0.6,0,3,0,1,0,0,0,1
390,6,1.4,4.2,3,1.2,0.8400000000000001,1,3,1,0,0,1,0,0
391,3,1.2,0.8400000000000001,6,1.4,4.2,0,0,1,0,0,1,0,0
392,-15,1.2,1.2,-4,2.4,0.24,1,0,0,0,1,0,1,0
393,-4,2.4,0.24,-15,1.2,1.2,0,3,0,1,0,0,0,1
394,3,1.2,2.4,17,1.4,0.48,1,1,0,1,0,1,0,0
395,17,1.4,0.48,3,1.2,2.4,0,1,1,0,0,0,1,0
396,-7,1.8,3.6,19,1.8,0.72,1,1,0,1,0,0,0,0
397,19,1.8,0.72,-7,1.8,3.6,0,1,0,0,0,0,1,0
398,20,2.0,6.0,-18,0.6,1.2,1,3,1,0,0,0,0,1
399,-18,0.6,1.2,20,2.0,6.0,0,0,0,0,1,1,0,0
400,27,2.4,9.0,-2,1.2,1.8,1,3,0,0,0,0,1,0
401,-2,1.2,1.8,27,2.4,9.0,0,0,0,1,0,0,0,0
402,6,0.8,1.6,44,2.2,0.32,1,0,0,1,0,0,0,0
403,44,2.2,0.32,6,0.8,1.6,0,3,0,0,0,0,1,0
404,-6,1.4,2.8,-13,0.8,0.5599999999999999,1,1,0,1,0,0,1,0
405,-13,0.8,0.5599999999999999,-6,1.4,2.8,0,1,0,1,0,0,1,0
406,-13,1.8,3.0,-30,0.6,0.6,1,3,0,1,0,0,0,1
407,-30,0.6,0.6,-13,1.8,3.0,0,0,0,0,1,0,1,0
408,-2,2.4,4.8,1,1.2,0.96,1,3,0,1,0,0,1,0
409,1,1.2,0.96,-2,2.4,4.8,0,0,0,1,0,0,1,0
410,2,0.6,2.4,-10,1.4,0.48,1,0,1,0,0,0,1,0
411,-10,1.4,0.48,2,0.6,2.4,0,3,0,1,0,1,0,0
412,-23,2.0,2.8,5,1.4,0.5599999999999999,1,3,0,0,1,1,0,0
413,5,1.4,0.5599999999999999,-23,2.0,2.8,0,0,1,0,0,0,0,1
414,-2,1.2,2.4,-13,1.8,0.48,1,1,0,1,0,0,1,0
415,-13,1.8,0.48,-2,1.2,2.4,0,1,0,1,0,0,1,0
416,47,2.6,10.4,-1,0.0,0.0,1,3,0,0,0,1,0,0
